"protein","miss_prop"
"A0A075B6Z2",0
"A0A096LPE2;P35542;Q09328",0
"A0ZSE6",0
"A5A3E0;Q6S8J3;P0CG39;Q9BYX7;E7EQ34;O14653",0
"A6NMZ7;P51570;Q13158;Q6NT55",0
"B1AJZ9",0
"B4E1Z4;P00751",0
"G9CGD6;Q8WWN9;Q96H79",0
"H0YJW9",0
"H3BMM5",0
"H7BZ55",0
"K7ER74;P02655",0
"O00219",0
"O00750;Q8NI17",0
"O14791",0
"O43166",0
"O43866",0
"O60437",0
"O60870",0
"O75038",0
"O75636",0
"O75882",0
"O95445",0
"O95522",0
"O95568",0
"O95996",0
"P0C0L4",0
"P0C0L5",0
"P0DJI8",0
"P0DJI9",0
"P00450;Q96CS3;Q96L14;Q99551;Q9BRC7",0
"P00734",0
"P00736",0
"P00739",0
"P00740",0
"P00742",0
"P00746",0
"P00747;Q02325;Q15195;P57058;Q9HC62",0
"P00748",0
"P00915",0
"P01008",0
"P01011",0
"P01019",0
"P01024;P05198;P0C7N8;P53794;Q2KHR3;Q3SXM5;Q5T200;Q8N3E9;Q8NBP0;Q8TE49;Q9BW04;Q9H974",0
"P01031",0
"P01034",0
"P01042",0
"P01344",0
"P02649",0
"P02654;Q9H223",0
"P02656",0
"P02741",0
"P02743",0
"P02745",0
"P02746",0
"P02747",0
"P02748",0
"P02749",0
"P02750;Q12901;Q9GZR7;Q9H2Y7",0
"P02753",0
"P02760",0
"P02765",0
"P02766",0
"P02774",0
"P02775",0
"P02776;P10720",0
"P02790;P51687;Q00973;Q04917;Q5T013;Q9NXR7;Q9NZ08;Q9Y2H2;Q9Y2K5;V9GYY9",0
"P03952",0
"P04003",0
"P04004",0
"P04070",0
"P04083",0
"P04180",0
"P04196",0
"P04217",0
"P04264",0
"P04278",0
"P05090",0
"P05155",0
"P05156;Q5SWL8",0
"P05452",0
"P05455",0
"P05543",0
"P05546",0
"P06276",0
"P06396",0
"P06681",0
"P06727",0
"P07225",0
"P07357",0
"P07358",0
"P07360",0
"P07737",0
"P07996",0
"P08185",0
"P08294",0
"P08571",0
"P08603",0
"P08697",0
"P08779;P02533",0
"P09429",0
"P09871",0
"P10643",0
"P10909",0
"P11177",0
"P11226",0
"P12544",0
"P13645;Q7Z3Y7;Q7Z3Y8;Q7Z3Y9;Q7Z3Z0",0
"P13671",0
"P13688",0
"P15169",0
"P17936",0
"P18428",0
"P19823",0
"P19827",0
"P20742",0
"P20851",0
"P22352",0
"P22792",0
"P23142",0
"P23508",0
"P25311",0
"P26927",0
"P27169",0
"P27918",0
"P29622",0
"P32456",0
"P32856",0
"P35527",0
"P35858;Q2M5E4",0
"P36955",0
"P36980",0
"P38919",0
"P42336",0
"P43220",0
"P43251",0
"P43652",0
"P46459",0
"P48736",0
"P48740",0
"P49908",0
"P51884",0
"P54756",0
"P55056",0
"P55285",0
"P59047",0
"P60709;P63261",0
"P61626",0
"P68032;P62736;P68133;P63267",0
"P68871;P69891;P69892",0
"P69905",0
"P80108",0
"Q1X8D7;P09661",0
"Q2M1P5",0
"Q3KQU3",0
"Q3V6T2",0
"Q5JYT7;Q96HE7",0
"Q5TB30;Q13884",0
"Q5TZA2;Q96RG2;P0C5J1;Q8N7N1",0
"Q6IEE8",0
"Q6IPM2",0
"Q6UB98",0
"Q6UXB8",0
"Q6ZN16",0
"Q7Z3Z4",0
"Q7Z4L5",0
"Q7Z7B0",0
"Q8IV77",0
"Q8IWC1",0
"Q8IWZ5",0
"Q8IY22;P01210;P53677",0
"Q8IZU8",0
"Q8N4C6",0
"Q8N841",0
"Q8TBZ2",0
"Q8TE85",0
"Q9BXR6",0
"Q9H0R5",0
"Q9NR63",0
"Q9NZP8",0
"Q9P2D0",0
"Q9P2E3",0
"Q9P2J5",0
"Q9UGM5",0
"Q9UIC8",0
"Q9UIF8",0
"Q9UK55",0
"Q9ULC5",0
"Q9ULV0",0
"Q9UPU9",0
"Q9Y4B5",0
"Q9Y4C1",0
"Q9Y6X9",0
"Q86UX7",0
"Q96ET8;Q9NYZ1",0
"Q96G01",0
"Q96IY4",0
"Q96KN2",0
"Q96L93",0
"Q96PD5",0
"Q96PZ0",0
"Q562R1",0
"Q01432",0
"Q03591",0
"Q04756",0
"Q05655",0
"Q06033",0
"Q08380",0
"Q12805",0
"Q12929",0
"Q13474",0
"Q13790",0
"Q13976",0
"Q14244;Q6UVJ0",0
"Q14520",0
"Q14624",0
"Q15166",0
"Q15293",0
"Q16610",0
"Q92496",0
"Q92598",0
"Q92698",0
"Q92777",0
"Q92954",0
